"STATISTIC","Statistic Label","C01903V02345","Employee Grade","C02407V02905","Building Sector","TLIST(A1)","Year","UNIT","VALUE"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","45","All construction (45)","2005","2005","Number","89117"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","45","All construction (45)","2006","2006","Number","97484"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","45","All construction (45)","2007","2007","Number","92715"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","451","Site preparation (451)","2005","2005","Number","1952"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","451","Site preparation (451)","2006","2006","Number","2135"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","451","Site preparation (451)","2007","2007","Number","2474"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","452","Building of complete constructions or part there of; civil engineering (452)","2005","2005","Number","63342"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","452","Building of complete constructions or part there of; civil engineering (452)","2006","2006","Number","69289"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","452","Building of complete constructions or part there of; civil engineering (452)","2007","2007","Number","62256"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","453","Building installation (453)","2005","2005","Number","17529"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","453","Building installation (453)","2006","2006","Number","19175"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","453","Building installation (453)","2007","2007","Number","20377"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","454","Building completion (454)","2005","2005","Number","4930"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","454","Building completion (454)","2006","2006","Number","5393"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","454","Building completion (454)","2007","2007","Number","5651"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","455","Renting of construction or demolition equipment with operator (455)","2005","2005","Number","1366"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","455","Renting of construction or demolition equipment with operator (455)","2006","2006","Number","1494"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","-","All grades","455","Renting of construction or demolition equipment with operator (455)","2007","2007","Number","1958"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","45","All construction (45)","2005","2005","Number","45505"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","45","All construction (45)","2006","2006","Number","49776"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","45","All construction (45)","2007","2007","Number","48509"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","451","Site preparation (451)","2005","2005","Number","1066"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","451","Site preparation (451)","2006","2006","Number","1166"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","451","Site preparation (451)","2007","2007","Number","1533"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","452","Building of complete constructions or part there of; civil engineering (452)","2005","2005","Number","28958"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","452","Building of complete constructions or part there of; civil engineering (452)","2006","2006","Number","31677"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","452","Building of complete constructions or part there of; civil engineering (452)","2007","2007","Number","29194"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","453","Building installation (453)","2005","2005","Number","11337"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","453","Building installation (453)","2006","2006","Number","12401"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","453","Building installation (453)","2007","2007","Number","12891"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","454","Building completion (454)","2005","2005","Number","3151"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","454","Building completion (454)","2006","2006","Number","3447"
"BAA08","Persons Engaged in Building and Construction Industry (New Basis)","02","All manual employee grades","454","Building completion (454)","2007","2007","Number","3352"
