"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPINDUS","CONSTR","THND_PER","A","2012",368.425,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2013",364.25,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2014",357.425,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2015",347.85,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2016",350.1,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2017",342.025,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2018",343.675,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2019",357.85,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2020",348.3,"B"
"AUT","EMPINDUS","CONSTR","THND_PER","A","2021",323.875,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2022",367,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2012",324.85,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2013",329.65,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2014",325.05,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2015",323.25,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2016",335.05,"B"
"BEL","EMPINDUS","CONSTR","THND_PER","A","2017",318.05,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2018",323.375,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2019",340.35,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2020",320.675,"B"
"BEL","EMPINDUS","CONSTR","THND_PER","A","2021",311.875,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2022",311.425,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2012",175.275,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2013",175.575,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2014",168.775,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2015",168.25,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2016",178.225,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2017",186.675,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2018",197.775,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2019",192.6,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2020",188.075,"B"
"FIN","EMPINDUS","CONSTR","THND_PER","A","2021",189.1,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2022",185.025,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2012",1864.525,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2013",1781.6,"B"
"FRA","EMPINDUS","CONSTR","THND_PER","A","2014",1741.25,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2015",1690.75,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2016",1686.725,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2017",1723.35,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2018",1790.6,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2019",1806.1,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2020",1797.35,"B"
"FRA","EMPINDUS","CONSTR","THND_PER","A","2021",1777.475,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2022",1838.625,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2012",2623.425,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2013",2685.225,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2014",2731.75,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2015",2724.125,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2016",2758.85,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2017",2837.35,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2018",2821.75,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2019",2859.6,"B"
"DEU","EMPINDUS","CONSTR","THND_PER","A","2021",2445.6,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2022",2577.275,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2012",200.9,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2013",162.35,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2014",151.625,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2015",145.2,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2016",147.075,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2017",149.25,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2018",151.575,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2019",147.6,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2020",140.75,"B"
"GRC","EMPINDUS","CONSTR","THND_PER","A","2021",141.75,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2022",148.6,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2012",83.4,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2013",85.925,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2014",93.775,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2015",108.775,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2016",118.6,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2017",128.675,"B"
"IRL","EMPINDUS","CONSTR","THND_PER","A","2018",143.375,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2019",146.975,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2020",137.175,"B"
"IRL","EMPINDUS","CONSTR","THND_PER","A","2021",138.6,
"IRL","EMPINDUS","CONSTR","THND_PER","A","2022",165.2,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2012",1699.9,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2013",1553.2,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2014",1483.9,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2015",1468.2,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2016",1403.75,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2017",1415.775,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2018",1406.8,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2019",1339.375,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2020",1357.95,"B"
"ITA","EMPINDUS","CONSTR","THND_PER","A","2021",1430.8,
"ITA","EMPINDUS","CONSTR","THND_PER","A","2022",1550.675,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2012",14.75,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2013",13.9,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2014",11.175,"B"
"LUX","EMPINDUS","CONSTR","THND_PER","A","2015",15,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2016",14.725,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2017",13.9,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2018",15.825,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2019",16.35,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2020",15.7,"B"
"LUX","EMPINDUS","CONSTR","THND_PER","A","2021",15.75,
"LUX","EMPINDUS","CONSTR","THND_PER","A","2022",14.7,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2012",441.45,"B"
"NLD","EMPINDUS","CONSTR","THND_PER","A","2013",412.825,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2014",397.5,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2015",402.6,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2016",397.575,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2017",408.675,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2018",402.75,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2019",412.55,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2020",406.95,"B"
"NLD","EMPINDUS","CONSTR","THND_PER","A","2021",396.65,
"NLD","EMPINDUS","CONSTR","THND_PER","A","2022",414.75,
"PRT","EMPINDUS","CONSTR","THND_PER","A","2012",343.05,
"PRT","EMPINDUS","CONSTR","THND_PER","A","2013",288.35,
