"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2012",28.3036206532955,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2013",20.7834503679363,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2014",9.8433680512563,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2015",7.18420751792114,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2016",6.11279731458489,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2017",5.22382449501028,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2018",6.69214192498142,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2019",7.66382843038625,
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2020",9.03012022901861,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2021",9.65569375483131,"E"
"GRC","GFCFASSET","DWELLING","PC_GFCF","A","2022",11.897532472184,"E"
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2012",13.9727805512857,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2013",15.4827195286795,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2014",12.9279016882368,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2015",10.6427557362897,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2016",14.8429636440113,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2017",14.602677432208,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2018",15.7028333225637,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2019",15.5121928623049,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2020",19.5380101522073,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2021",20.8297718544962,
"SVK","GFCFASSET","DWELLING","PC_GFCF","A","2022",21.0680350633438,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2012",15.0614440839111,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2013",18.2961184128399,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2014",18.897176179262,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2015",22.0115308387836,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2016",23.464701773686,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2017",20.4586786710847,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2018",23.6133089980373,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2019",22.8503322538121,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2020",23.1733445617311,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2021",19.7769348625057,
"LUX","GFCFASSET","DWELLING","PC_GFCF","A","2022",19.1291792775636,"E"
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2012",25.5294170717129,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2013",25.5613092375102,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2014",25.6854930403456,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2015",24.8645349669606,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2016",24.6066991495712,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2017",24.6036235171475,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2018",24.8297926962916,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2019",25.2207950859866,
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2020",25.2554049774733,"E"
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2021",25.9227855739303,"E"
"BEL","GFCFASSET","DWELLING","PC_GFCF","A","2022",26.2548655666834,"E"
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2012",26.6656758734224,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2013",27.1408656590761,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2014",25.5296679068486,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2015",24.312331255277,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2016",23.6203631043655,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2017",23.1501542148942,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2018",22.8919012706687,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2019",22.2760342248875,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2020",22.4369754938672,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2021",25.9215866830005,
"ITA","GFCFASSET","DWELLING","PC_GFCF","A","2022",26.5053734341266,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2012",13.3033261603879,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2013",12.0582331220444,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2014",11.3009029416646,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2015",11.4403046328274,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2016",11.9236014191971,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2017",11.487722965244,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2018",10.721339502177,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2019",11.0886910991453,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2020",12.0831693912045,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2021",11.9120896218905,
"SVN","GFCFASSET","DWELLING","PC_GFCF","A","2022",12.4214438322738,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2012",19.0232700305074,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2013",18.8103907902433,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2014",18.9003207460744,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2015",18.760207930146,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2016",18.4633271892347,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2017",18.9705805179547,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2018",18.7179697926228,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2019",18.8712107989684,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2020",19.8752508085003,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2021",19.8743667027871,
"AUT","GFCFASSET","DWELLING","PC_GFCF","A","2022",20.2024747355874,
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2012",28.9380992584387,
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2013",29.4396782841823,
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2014",29.5763340236762,
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2015",28.9459523699483,
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2016",29.5939487567952,
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2017",29.3589812798781,
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2018",29.6726516667866,
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2019",29.9560456435616,"E"
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2020",32.1937058766795,"E"
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2021",32.9827354797883,"E"
"DEU","GFCFASSET","DWELLING","PC_GFCF","A","2022",33.5076265211485,"E"
"EST","GFCFASSET","DWELLING","PC_GFCF","A","2012",10.1901065539023,
"EST","GFCFASSET","DWELLING","PC_GFCF","A","2013",12.0722212760389,
"EST","GFCFASSET","DWELLING","PC_GFCF","A","2014",14.8355062349142,
