"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","2012",46477.655075,
"AUT","GDP","TOT","USD_CAP","A","2013",47936.677963,
"AUT","GDP","TOT","USD_CAP","A","2014",48813.534409,
"AUT","GDP","TOT","USD_CAP","A","2015",49942.056293,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59719.612013,
"AUT","GDP","TOT","USD_CAP","A","2020",57258.818295,
"AUT","GDP","TOT","USD_CAP","A","2021",59991.439846,
"AUT","GDP","TOT","USD_CAP","A","2022",68774.881689,
"BEL","GDP","TOT","USD_CAP","A","2012",42290.477674,
"BEL","GDP","TOT","USD_CAP","A","2013",43672.712292,
"BEL","GDP","TOT","USD_CAP","A","2014",44929.933328,
"BEL","GDP","TOT","USD_CAP","A","2015",46201.685891,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.84151,
"BEL","GDP","TOT","USD_CAP","A","2019",55804.713631,
"BEL","GDP","TOT","USD_CAP","A","2020",54544.41924,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58845.530928,"P"
"BEL","GDP","TOT","USD_CAP","A","2022",65818.301179,"P"
"FIN","GDP","TOT","USD_CAP","A","2012",40872.854802,
"FIN","GDP","TOT","USD_CAP","A","2013",41492.918416,
"FIN","GDP","TOT","USD_CAP","A","2014",41749.864733,
"FIN","GDP","TOT","USD_CAP","A","2015",42490.211049,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.599332,
"FIN","GDP","TOT","USD_CAP","A","2020",52294.342491,
"FIN","GDP","TOT","USD_CAP","A","2021",54701.696922,
"FIN","GDP","TOT","USD_CAP","A","2022",59808.219831,
"FRA","GDP","TOT","USD_CAP","A","2012",37684.198067,
"FRA","GDP","TOT","USD_CAP","A","2013",39528.473644,
"FRA","GDP","TOT","USD_CAP","A","2014",40144.059485,
"FRA","GDP","TOT","USD_CAP","A","2015",40829.893311,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50222.232835,
"FRA","GDP","TOT","USD_CAP","A","2020",47828.528542,
"FRA","GDP","TOT","USD_CAP","A","2021",51011.836944,"P"
"FRA","GDP","TOT","USD_CAP","A","2022",55698.406803,"P"
"DEU","GDP","TOT","USD_CAP","A","2012",43359.541048,
"DEU","GDP","TOT","USD_CAP","A","2013",44993.667838,
"DEU","GDP","TOT","USD_CAP","A","2014",47011.280402,
"DEU","GDP","TOT","USD_CAP","A","2015",47609.557159,
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57397.473982,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56482.377267,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58799.012445,"P"
"DEU","GDP","TOT","USD_CAP","A","2022",64099.171558,"P"
"GRC","GDP","TOT","USD_CAP","A","2012",24911.130276,
"GRC","GDP","TOT","USD_CAP","A","2013",25986.640698,
"GRC","GDP","TOT","USD_CAP","A","2014",26625.159298,
"GRC","GDP","TOT","USD_CAP","A","2015",26760.280798,
"GRC","GDP","TOT","USD_CAP","A","2016",27511.803202,
"GRC","GDP","TOT","USD_CAP","A","2017",28604.829152,
"GRC","GDP","TOT","USD_CAP","A","2018",29617.518625,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.946796,
"GRC","GDP","TOT","USD_CAP","A","2020",28416.523031,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31297.164572,"P"
"GRC","GDP","TOT","USD_CAP","A","2022",37212.227345,"P"
"IRL","GDP","TOT","USD_CAP","A","2012",46409.672305,
"IRL","GDP","TOT","USD_CAP","A","2013",47882.067704,
"IRL","GDP","TOT","USD_CAP","A","2014",51195.980951,
"IRL","GDP","TOT","USD_CAP","A","2015",69165.900652,
"IRL","GDP","TOT","USD_CAP","A","2016",71633.128805,
"IRL","GDP","TOT","USD_CAP","A","2017",78051.654251,
"IRL","GDP","TOT","USD_CAP","A","2018",84824.335541,
"IRL","GDP","TOT","USD_CAP","A","2019",89846.694028,
"IRL","GDP","TOT","USD_CAP","A","2020",94037.963161,
"IRL","GDP","TOT","USD_CAP","A","2021",106879.157958,
"IRL","GDP","TOT","USD_CAP","A","2022",128343.445998,
"ITA","GDP","TOT","USD_CAP","A","2012",36091.373957,
