"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPINDUS","CONSTR","THND_PER","A","2012",982.4848,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2013",1007.852,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2014",1031.304,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2015",1029.04,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2016",1060.091,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2017",1138.107,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2018",1178.354,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2019",1173.967,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2020",1173.959,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2021",1149.426,
"AUS","EMPINDUS","CONSTR","THND_PER","A","2022",1231.692,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2012",368.425,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2013",364.25,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2014",357.425,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2015",347.85,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2016",350.1,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2017",342.025,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2018",343.675,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2019",357.85,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2020",348.3,"B"
"AUT","EMPINDUS","CONSTR","THND_PER","A","2021",323.875,
"AUT","EMPINDUS","CONSTR","THND_PER","A","2022",367,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2012",324.85,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2013",329.65,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2014",325.05,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2015",323.25,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2016",335.05,"B"
"BEL","EMPINDUS","CONSTR","THND_PER","A","2017",318.05,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2018",323.375,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2019",340.35,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2020",320.675,"B"
"BEL","EMPINDUS","CONSTR","THND_PER","A","2021",311.875,
"BEL","EMPINDUS","CONSTR","THND_PER","A","2022",311.425,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2012",1332.25,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2013",1377.25,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2014",1371.558,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2015",1364.858,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2016",1379.317,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2017",1418.675,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2018",1435.8,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2019",1473.925,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2020",1407.667,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2021",1451.492,
"CAN","EMPINDUS","CONSTR","THND_PER","A","2022",1552.892,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2012",424.925,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2013",420.3,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2014",413.95,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2015",396.025,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2016",386.3,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2017",391.875,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2018",383.975,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2019",376.875,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2020",395.5,
"CZE","EMPINDUS","CONSTR","THND_PER","A","2021",413.4,"B"
"CZE","EMPINDUS","CONSTR","THND_PER","A","2022",406.25,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2012",156.95,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2013",159.75,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2014",161.675,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2015",165.15,"B"
"DNK","EMPINDUS","CONSTR","THND_PER","A","2016",157.25,"B"
"DNK","EMPINDUS","CONSTR","THND_PER","A","2017",169.75,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2018",179.05,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2019",177.425,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2020",178.15,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2021",192.725,
"DNK","EMPINDUS","CONSTR","THND_PER","A","2022",194.35,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2012",175.275,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2013",175.575,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2014",168.775,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2015",168.25,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2016",178.225,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2017",186.675,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2018",197.775,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2019",192.6,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2020",188.075,"B"
"FIN","EMPINDUS","CONSTR","THND_PER","A","2021",189.1,
"FIN","EMPINDUS","CONSTR","THND_PER","A","2022",185.025,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2012",1864.525,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2013",1781.6,"B"
"FRA","EMPINDUS","CONSTR","THND_PER","A","2014",1741.25,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2015",1690.75,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2016",1686.725,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2017",1723.35,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2018",1790.6,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2019",1806.1,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2020",1797.35,"B"
"FRA","EMPINDUS","CONSTR","THND_PER","A","2021",1777.475,
"FRA","EMPINDUS","CONSTR","THND_PER","A","2022",1838.625,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2012",2623.425,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2013",2685.225,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2014",2731.75,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2015",2724.125,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2016",2758.85,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2017",2837.35,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2018",2821.75,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2019",2859.6,"B"
"DEU","EMPINDUS","CONSTR","THND_PER","A","2021",2445.6,
"DEU","EMPINDUS","CONSTR","THND_PER","A","2022",2577.275,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2012",200.9,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2013",162.35,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2014",151.625,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2015",145.2,
"GRC","EMPINDUS","CONSTR","THND_PER","A","2016",147.075,
