"STATISTIC","Statistic Label","TLIST(A1)","Year","C01912V02351","Type of Non Residential Building","C01921V02511","Type of Construction","UNIT","VALUE"
"BHA07C1","Planning Permissions Granted","2001","2001","200","All non residential buildings","-","All types of construction","Number","7553"
"BHA07C1","Planning Permissions Granted","2001","2001","200","All non residential buildings","1","New construction","Number","3461"
"BHA07C1","Planning Permissions Granted","2001","2001","200","All non residential buildings","2","Extensions","Number","2400"
"BHA07C1","Planning Permissions Granted","2001","2001","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1692"
"BHA07C1","Planning Permissions Granted","2001","2001","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","1223"
"BHA07C1","Planning Permissions Granted","2001","2001","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","1026"
"BHA07C1","Planning Permissions Granted","2001","2001","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","170"
"BHA07C1","Planning Permissions Granted","2001","2001","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","Number","27"
"BHA07C1","Planning Permissions Granted","2001","2001","202","Buildings for mining, energy and water","-","All types of construction","Number","64"
"BHA07C1","Planning Permissions Granted","2001","2001","202","Buildings for mining, energy and water","1","New construction","Number","55"
"BHA07C1","Planning Permissions Granted","2001","2001","202","Buildings for mining, energy and water","2","Extensions","Number","3"
"BHA07C1","Planning Permissions Granted","2001","2001","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","Number","6"
"BHA07C1","Planning Permissions Granted","2001","2001","203","Buildings for industry and manufacturing handicraft","-","All types of construction","Number","676"
"BHA07C1","Planning Permissions Granted","2001","2001","203","Buildings for industry and manufacturing handicraft","1","New construction","Number","359"
"BHA07C1","Planning Permissions Granted","2001","2001","203","Buildings for industry and manufacturing handicraft","2","Extensions","Number","236"
"BHA07C1","Planning Permissions Granted","2001","2001","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","Number","81"
"BHA07C1","Planning Permissions Granted","2001","2001","204","Hotels, restaurants and cafes","-","All types of construction","Number","747"
"BHA07C1","Planning Permissions Granted","2001","2001","204","Hotels, restaurants and cafes","1","New construction","Number","142"
"BHA07C1","Planning Permissions Granted","2001","2001","204","Hotels, restaurants and cafes","2","Extensions","Number","331"
"BHA07C1","Planning Permissions Granted","2001","2001","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","Number","274"
"BHA07C1","Planning Permissions Granted","2001","2001","205","Buildings for transport","-","All types of construction","Number","217"
"BHA07C1","Planning Permissions Granted","2001","2001","205","Buildings for transport","1","New construction","Number","145"
"BHA07C1","Planning Permissions Granted","2001","2001","205","Buildings for transport","2","Extensions","Number","49"
"BHA07C1","Planning Permissions Granted","2001","2001","205","Buildings for transport","3","Alteration, conversion and renovation","Number","23"
"BHA07C1","Planning Permissions Granted","2001","2001","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","Number","1790"
"BHA07C1","Planning Permissions Granted","2001","2001","206","Buildings for trade and administration buildings for other economic activities","1","New construction","Number","778"
"BHA07C1","Planning Permissions Granted","2001","2001","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","Number","495"
"BHA07C1","Planning Permissions Granted","2001","2001","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","Number","517"
"BHA07C1","Planning Permissions Granted","2001","2001","207","Public administration and public buildings for special purposes","-","All types of construction","Number","13"
"BHA07C1","Planning Permissions Granted","2001","2001","207","Public administration and public buildings for special purposes","1","New construction","Number","4"
"BHA07C1","Planning Permissions Granted","2001","2001","207","Public administration and public buildings for special purposes","2","Extensions","Number","5"
"BHA07C1","Planning Permissions Granted","2001","2001","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","Number","4"
"BHA07C1","Planning Permissions Granted","2001","2001","208","Buildings for health and welfare","-","All types of construction","Number","412"
"BHA07C1","Planning Permissions Granted","2001","2001","208","Buildings for health and welfare","1","New construction","Number","133"
"BHA07C1","Planning Permissions Granted","2001","2001","208","Buildings for health and welfare","2","Extensions","Number","172"
"BHA07C1","Planning Permissions Granted","2001","2001","208","Buildings for health and welfare","3","Alteration, conversion and renovation","Number","107"
"BHA07C1","Planning Permissions Granted","2001","2001","209","Buildings for entertainment and recreation","-","All types of construction","Number","479"
"BHA07C1","Planning Permissions Granted","2001","2001","209","Buildings for entertainment and recreation","1","New construction","Number","199"
"BHA07C1","Planning Permissions Granted","2001","2001","209","Buildings for entertainment and recreation","2","Extensions","Number","212"
"BHA07C1","Planning Permissions Granted","2001","2001","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","Number","68"
"BHA07C1","Planning Permissions Granted","2001","2001","210","Buildings for education, culture, science and research","-","All types of construction","Number","804"
"BHA07C1","Planning Permissions Granted","2001","2001","210","Buildings for education, culture, science and research","1","New construction","Number","203"
"BHA07C1","Planning Permissions Granted","2001","2001","210","Buildings for education, culture, science and research","2","Extensions","Number","462"
"BHA07C1","Planning Permissions Granted","2001","2001","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","Number","139"
"BHA07C1","Planning Permissions Granted","2001","2001","211","Buildings for religious and funerary","-","All types of construction","Number","86"
"BHA07C1","Planning Permissions Granted","2001","2001","211","Buildings for religious and funerary","1","New construction","Number","17"
"BHA07C1","Planning Permissions Granted","2001","2001","211","Buildings for religious and funerary","2","Extensions","Number","42"
"BHA07C1","Planning Permissions Granted","2001","2001","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","Number","27"
"BHA07C1","Planning Permissions Granted","2001","2001","212","Other non-residential buildings","-","All types of construction","Number","17"
"BHA07C1","Planning Permissions Granted","2001","2001","212","Other non-residential buildings","1","New construction","Number","12"
"BHA07C1","Planning Permissions Granted","2001","2001","212","Other non-residential buildings","2","Extensions","Number","2"
"BHA07C1","Planning Permissions Granted","2001","2001","212","Other non-residential buildings","3","Alteration, conversion and renovation","Number","3"
"BHA07C1","Planning Permissions Granted","2001","2001","213","Office development, buildings for financing and insurance","-","All types of construction","Number","967"
"BHA07C1","Planning Permissions Granted","2001","2001","213","Office development, buildings for financing and insurance","1","New construction","Number","358"
"BHA07C1","Planning Permissions Granted","2001","2001","213","Office development, buildings for financing and insurance","2","Extensions","Number","214"
"BHA07C1","Planning Permissions Granted","2001","2001","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","Number","395"
"BHA07C1","Planning Permissions Granted","2001","2001","214","Creche","-","All types of construction","Number","58"
"BHA07C1","Planning Permissions Granted","2001","2001","214","Creche","1","New construction","Number","30"
"BHA07C1","Planning Permissions Granted","2001","2001","214","Creche","2","Extensions","Number","7"
"BHA07C1","Planning Permissions Granted","2001","2001","214","Creche","3","Alteration, conversion and renovation","Number","21"
"BHA07C1","Planning Permissions Granted","2002","2002","200","All non residential buildings","-","All types of construction","Number","7971"
"BHA07C1","Planning Permissions Granted","2002","2002","200","All non residential buildings","1","New construction","Number","3414"
"BHA07C1","Planning Permissions Granted","2002","2002","200","All non residential buildings","2","Extensions","Number","2675"
"BHA07C1","Planning Permissions Granted","2002","2002","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1882"
"BHA07C1","Planning Permissions Granted","2002","2002","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","1445"
"BHA07C1","Planning Permissions Granted","2002","2002","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","1170"
