DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2012-Q1,86.1,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2012-Q2,101.1,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2012-Q3,109.5,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2012-Q4,95.3,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2013-Q1,107.8,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2013-Q2,87.0,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2013-Q3,92.4,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2013-Q4,102.8,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2014-Q1,79.8,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2014-Q2,101.6,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2014-Q3,84.3,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2014-Q4,86.9,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2015-Q1,96.4,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2015-Q2,102.4,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2015-Q3,94.1,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2015-Q4,107.0,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2016-Q1,107.5,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2016-Q2,121.5,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2016-Q3,115.1,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2016-Q4,125.3,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2017-Q1,124.1,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2017-Q2,121.5,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2017-Q3,111.2,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2017-Q4,100.0,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2018-Q1,102.5,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2018-Q2,90.0,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2018-Q3,105.7,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2018-Q4,109.6,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2019-Q1,103.6,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2019-Q2,114.6,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2019-Q3,109.7,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2019-Q4,84.1,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2020-Q1,93.6,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2020-Q2,96.5,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2020-Q3,93.0,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2020-Q4,104.6,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2021-Q1,101.6,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2021-Q2,107.5,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2021-Q3,81.8,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PNUM,CPA_F41001,SCA,I15,NO,2021-Q4,100.5,
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2012-Q1,81.5,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2012-Q2,87.0,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2012-Q3,83.1,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2012-Q4,97.7,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2013-Q1,97.2,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2013-Q2,95.7,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2013-Q3,98.6,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2013-Q4,88.2,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2014-Q1,95.5,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2014-Q2,94.7,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2014-Q3,94.5,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2014-Q4,101.1,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2015-Q1,94.1,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2015-Q2,96.2,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2015-Q3,104.5,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2015-Q4,105.2,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2016-Q1,112.6,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2016-Q2,124.1,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2016-Q3,107.7,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2016-Q4,103.0,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2017-Q1,117.6,s
ESTAT:STS_COBP_Q(1.0),18/05/23 11:00:00,Q,PSQM,CPA_F41001,SCA,I15,AT,2017-Q2,119.0,s
