"Statistic Label","Year","Type of Dwelling","UNIT","VALUE"
"Planning Permissions Granted","2002","Houses","Number","18224"
"Planning Permissions Granted","2002","Private flats/apartments","Number","1464"
"Planning Permissions Granted","2003","Houses","Number","19323"
"Planning Permissions Granted","2003","Private flats/apartments","Number","1592"
"Planning Permissions Granted","2004","Houses","Number","25751"
"Planning Permissions Granted","2004","Private flats/apartments","Number","1731"
"Planning Permissions Granted","2005","Houses","Number","23514"
"Planning Permissions Granted","2005","Private flats/apartments","Number","1799"
"Planning Permissions Granted","2006","Houses","Number","21409"
"Planning Permissions Granted","2006","Private flats/apartments","Number","1340"
"Planning Permissions Granted","2007","Houses","Number","20788"
"Planning Permissions Granted","2007","Private flats/apartments","Number","1424"
"Planning Permissions Granted","2008","Houses","Number","16297"
"Planning Permissions Granted","2008","Private flats/apartments","Number","1139"
"Planning Permissions Granted","2009","Houses","Number","9567"
"Planning Permissions Granted","2009","Private flats/apartments","Number","771"
"Planning Permissions Granted","2010","Houses","Number","5958"
"Planning Permissions Granted","2010","Private flats/apartments","Number","361"
"Planning Permissions Granted","2011","Houses","Number","4516"
"Planning Permissions Granted","2011","Private flats/apartments","Number","229"
"Planning Permissions Granted","2012","Houses","Number","3422"
"Planning Permissions Granted","2012","Private flats/apartments","Number","204"
"Planning Permissions Granted","2013","Houses","Number","3103"
"Planning Permissions Granted","2013","Private flats/apartments","Number","197"
"Planning Permissions Granted","2014","Houses","Number","3335"
"Planning Permissions Granted","2014","Private flats/apartments","Number","246"
"Planning Permissions Granted","2015","Houses","Number","3921"
"Planning Permissions Granted","2015","Private flats/apartments","Number","326"
"Planning Permissions Granted","2016","Houses","Number","4668"
"Planning Permissions Granted","2016","Private flats/apartments","Number","424"
"Planning Permissions Granted","2017","Houses","Number","5726"
"Planning Permissions Granted","2017","Private flats/apartments","Number","510"
"Planning Permissions Granted","2018","Houses","Number","6103"
"Planning Permissions Granted","2018","Private flats/apartments","Number","692"
"Planning Permissions Granted","2019","Houses","Number","6265"
"Planning Permissions Granted","2019","Private flats/apartments","Number","791"
"Planning Permissions Granted","2020","Houses","Number","5844"
"Planning Permissions Granted","2020","Private flats/apartments","Number","742"
"Planning Permissions Granted","2021","Houses","Number","7971"
"Planning Permissions Granted","2021","Private flats/apartments","Number","810"
"Planning Permissions Granted","2022","Houses","Number","7401"
"Planning Permissions Granted","2022","Private flats/apartments","Number","695"
"Units for which Permission Granted","2002","Houses","Number","51055"
"Units for which Permission Granted","2002","Private flats/apartments","Number","18259"
"Units for which Permission Granted","2003","Houses","Number","49605"
"Units for which Permission Granted","2003","Private flats/apartments","Number","28749"
"Units for which Permission Granted","2004","Houses","Number","69576"
"Units for which Permission Granted","2004","Private flats/apartments","Number","32077"
"Units for which Permission Granted","2005","Houses","Number","75650"
"Units for which Permission Granted","2005","Private flats/apartments","Number","23702"
"Units for which Permission Granted","2006","Houses","Number","60008"
"Units for which Permission Granted","2006","Private flats/apartments","Number","18747"
"Units for which Permission Granted","2007","Houses","Number","62828"
"Units for which Permission Granted","2007","Private flats/apartments","Number","21569"
"Units for which Permission Granted","2008","Houses","Number","47806"
"Units for which Permission Granted","2008","Private flats/apartments","Number","19778"
"Units for which Permission Granted","2009","Houses","Number","26814"
"Units for which Permission Granted","2009","Private flats/apartments","Number","13742"
"Units for which Permission Granted","2010","Houses","Number","11604"
"Units for which Permission Granted","2010","Private flats/apartments","Number","6874"
"Units for which Permission Granted","2011","Houses","Number","9098"
"Units for which Permission Granted","2011","Private flats/apartments","Number","2547"
"Units for which Permission Granted","2012","Houses","Number","5389"
"Units for which Permission Granted","2012","Private flats/apartments","Number","861"
"Units for which Permission Granted","2013","Houses","Number","6002"
"Units for which Permission Granted","2013","Private flats/apartments","Number","1197"
"Units for which Permission Granted","2014","Houses","Number","6626"
"Units for which Permission Granted","2014","Private flats/apartments","Number","785"
"Units for which Permission Granted","2015","Houses","Number","10250"
"Units for which Permission Granted","2015","Private flats/apartments","Number","2794"
"Units for which Permission Granted","2016","Houses","Number","12318"
"Units for which Permission Granted","2016","Private flats/apartments","Number","3632"
"Units for which Permission Granted","2017","Houses","Number","15440"
"Units for which Permission Granted","2017","Private flats/apartments","Number","5336"
"Units for which Permission Granted","2018","Houses","Number","19964"
"Units for which Permission Granted","2018","Private flats/apartments","Number","8975"
"Units for which Permission Granted","2019","Houses","Number","19563"
"Units for which Permission Granted","2019","Private flats/apartments","Number","18898"
"Units for which Permission Granted","2020","Houses","Number","17709"
"Units for which Permission Granted","2020","Private flats/apartments","Number","24662"
"Units for which Permission Granted","2021","Houses","Number","16719"
"Units for which Permission Granted","2021","Private flats/apartments","Number","26272"
"Units for which Permission Granted","2022","Houses","Number","17454"
"Units for which Permission Granted","2022","Private flats/apartments","Number","16723"
"Total Floor Area for which Permission Granted","2002","Houses","000 Sq Metres","7328"
"Total Floor Area for which Permission Granted","2002","Private flats/apartments","000 Sq Metres","1422"
"Total Floor Area for which Permission Granted","2003","Houses","000 Sq Metres","7297"
"Total Floor Area for which Permission Granted","2003","Private flats/apartments","000 Sq Metres","2281"
"Total Floor Area for which Permission Granted","2004","Houses","000 Sq Metres","10287"
"Total Floor Area for which Permission Granted","2004","Private flats/apartments","000 Sq Metres","2459"
"Total Floor Area for which Permission Granted","2005","Houses","000 Sq Metres","11278"
"Total Floor Area for which Permission Granted","2005","Private flats/apartments","000 Sq Metres","1854"
"Total Floor Area for which Permission Granted","2006","Houses","000 Sq Metres","9526"
"Total Floor Area for which Permission Granted","2006","Private flats/apartments","000 Sq Metres","1520"
"Total Floor Area for which Permission Granted","2007","Houses","000 Sq Metres","10295"
"Total Floor Area for which Permission Granted","2007","Private flats/apartments","000 Sq Metres","1834"
"Total Floor Area for which Permission Granted","2008","Houses","000 Sq Metres","8059"
"Total Floor Area for which Permission Granted","2008","Private flats/apartments","000 Sq Metres","1690"
"Total Floor Area for which Permission Granted","2009","Houses","000 Sq Metres","4592"
"Total Floor Area for which Permission Granted","2009","Private flats/apartments","000 Sq Metres","1286"
"Total Floor Area for which Permission Granted","2010","Houses","000 Sq Metres","2208"
"Total Floor Area for which Permission Granted","2010","Private flats/apartments","000 Sq Metres","629"
"Total Floor Area for which Permission Granted","2011","Houses","000 Sq Metres","1706"
"Total Floor Area for which Permission Granted","2011","Private flats/apartments","000 Sq Metres","279"
"Total Floor Area for which Permission Granted","2012","Houses","000 Sq Metres","1110"
"Total Floor Area for which Permission Granted","2012","Private flats/apartments","000 Sq Metres","80"
"Total Floor Area for which Permission Granted","2013","Houses","000 Sq Metres","1161"
"Total Floor Area for which Permission Granted","2013","Private flats/apartments","000 Sq Metres","123"
"Total Floor Area for which Permission Granted","2014","Houses","000 Sq Metres","1261"
"Total Floor Area for which Permission Granted","2014","Private flats/apartments","000 Sq Metres","69"
"Total Floor Area for which Permission Granted","2015","Houses","000 Sq Metres","1829"
"Total Floor Area for which Permission Granted","2015","Private flats/apartments","000 Sq Metres","266"
"Total Floor Area for which Permission Granted","2016","Houses","000 Sq Metres","2105"
"Total Floor Area for which Permission Granted","2016","Private flats/apartments","000 Sq Metres","331"
"Total Floor Area for which Permission Granted","2017","Houses","000 Sq Metres","2610"
"Total Floor Area for which Permission Granted","2017","Private flats/apartments","000 Sq Metres","458"
"Total Floor Area for which Permission Granted","2018","Houses","000 Sq Metres","3166"
"Total Floor Area for which Permission Granted","2018","Private flats/apartments","000 Sq Metres","780"
"Total Floor Area for which Permission Granted","2019","Houses","000 Sq Metres","3090"
"Total Floor Area for which Permission Granted","2019","Private flats/apartments","000 Sq Metres","1516"
"Total Floor Area for which Permission Granted","2020","Houses","000 Sq Metres","2732"
"Total Floor Area for which Permission Granted","2020","Private flats/apartments","000 Sq Metres","1844"
"Total Floor Area for which Permission Granted","2021","Houses","000 Sq Metres","2915"
"Total Floor Area for which Permission Granted","2021","Private flats/apartments","000 Sq Metres","1849"
"Total Floor Area for which Permission Granted","2022","Houses","000 Sq Metres","2915"
"Total Floor Area for which Permission Granted","2022","Private flats/apartments","000 Sq Metres","1246"
"Average Floor Area per Unit","2002","Houses","Sq Metres","143.6"
"Average Floor Area per Unit","2002","Private flats/apartments","Sq Metres","77.9"
"Average Floor Area per Unit","2003","Houses","Sq Metres","147.1"
"Average Floor Area per Unit","2003","Private flats/apartments","Sq Metres","79.3"
"Average Floor Area per Unit","2004","Houses","Sq Metres","147.8"
"Average Floor Area per Unit","2004","Private flats/apartments","Sq Metres","76.6"
"Average Floor Area per Unit","2005","Houses","Sq Metres","149.1"
"Average Floor Area per Unit","2005","Private flats/apartments","Sq Metres","78.2"
"Average Floor Area per Unit","2006","Houses","Sq Metres","158.7"
"Average Floor Area per Unit","2006","Private flats/apartments","Sq Metres","81.1"
"Average Floor Area per Unit","2007","Houses","Sq Metres","163.9"
"Average Floor Area per Unit","2007","Private flats/apartments","Sq Metres","85"
"Average Floor Area per Unit","2008","Houses","Sq Metres","168.6"
"Average Floor Area per Unit","2008","Private flats/apartments","Sq Metres","85.4"
"Average Floor Area per Unit","2009","Houses","Sq Metres","171.3"
"Average Floor Area per Unit","2009","Private flats/apartments","Sq Metres","93.6"
"Average Floor Area per Unit","2010","Houses","Sq Metres","190.3"
"Average Floor Area per Unit","2010","Private flats/apartments","Sq Metres","91.5"
"Average Floor Area per Unit","2011","Houses","Sq Metres","187.5"
"Average Floor Area per Unit","2011","Private flats/apartments","Sq Metres","103.2"
"Average Floor Area per Unit","2012","Houses","Sq Metres","206"
"Average Floor Area per Unit","2012","Private flats/apartments","Sq Metres","93"
"Average Floor Area per Unit","2013","Houses","Sq Metres","193.5"
"Average Floor Area per Unit","2013","Private flats/apartments","Sq Metres","103"
"Average Floor Area per Unit","2014","Houses","Sq Metres","190.3"
"Average Floor Area per Unit","2014","Private flats/apartments","Sq Metres","88.3"
"Average Floor Area per Unit","2015","Houses","Sq Metres","178.4"
"Average Floor Area per Unit","2015","Private flats/apartments","Sq Metres","95.2"
"Average Floor Area per Unit","2016","Houses","Sq Metres","171"
"Average Floor Area per Unit","2016","Private flats/apartments","Sq Metres","91.1"
"Average Floor Area per Unit","2017","Houses","Sq Metres","169.1"
"Average Floor Area per Unit","2017","Private flats/apartments","Sq Metres","85.9"
"Average Floor Area per Unit","2018","Houses","Sq Metres","159"
"Average Floor Area per Unit","2018","Private flats/apartments","Sq Metres","87"
"Average Floor Area per Unit","2019","Houses","Sq Metres","158"
"Average Floor Area per Unit","2019","Private flats/apartments","Sq Metres","80"
"Average Floor Area per Unit","2020","Houses","Sq Metres","154"
"Average Floor Area per Unit","2020","Private flats/apartments","Sq Metres","75"
"Average Floor Area per Unit","2021","Houses","Sq Metres","174"
"Average Floor Area per Unit","2021","Private flats/apartments","Sq Metres","70"
"Average Floor Area per Unit","2022","Houses","Sq Metres","167"
"Average Floor Area per Unit","2022","Private flats/apartments","Sq Metres","74"
