DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2012,41.2,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2013,47.1,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2014,50.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2015,52.3,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2016,61.4,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2017,71.1,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2018,59.1,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2019,69.7,e
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2020,62.4,e
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,AT,2021,56.5,e
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2012,46.5,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2013,48.8,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2014,54.3,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2015,45.6,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2016,50.7,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2017,49.7,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2018,62.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2019,55.3,p
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2020,54.7,p
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,BE,2021,56.9,p
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2012,1018.8,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2013,926.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2014,904.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2015,970.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2016,1125.8,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2017,1206.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2018,1229.4,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2019,1230.4,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2020,1142.6,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,EA19,2021,1288.3,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2012,6.3,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2013,7.2,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2014,7.4,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2015,13.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2016,16.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2017,20.8,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2018,28.9,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2019,38.5,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2020,42.4,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,IE,2021,43.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2012,4.2,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2013,3.5,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2014,5.7,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2015,3.9,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2016,4.7,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2017,4.8,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2018,5.4,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2019,5.3,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2020,5.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,LU,2021,6.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2012,39.4,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2013,27.2,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2014,41.3,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2015,55.6,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2016,53.6,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2017,69.7,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2018,70.0,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2019,58.1,
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2020,67.2,p
ESTAT:STS_COBP_A(1.0),20/05/23 11:00:00,A,PNUM,CPA_F41001_X_410014,NSA,THS,NL,2021,75.8,p
